Qty,Description,Possible MPN,Package,Notes/Source,Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Mouser Description,Datasheet URL,Price,Availability,Match Status
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint.",356-ESP32WRM32EN8R2,ESP32-WROOM-32E-N8R2,Espressif Systems,"Multiprotocol Modules ESP32-WROOM-32E integrates ESP32-D0WD-V3, with higher stability and safety performance.",https://www.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,$2.88,In Stock,Matched
1,"USB Type-C Receptacle, 2.0, 16-pin, Horiz, SMT w/ posts",UJ20-C-H-G-SMT-4-P16-TR,Connector_USB:USB_C_Receptacle_...,"SameSky, 5A, 48V. Find/verify footprint.",179-UJ20CHGSMT4P16TR,UJ20-C-H-G-SMT-4-P16-TR,Same Sky,"USB Connectors Type C, 2.0, Horizontal, Gold Plated 3u, Surface Mount with post, 16 pin, T&R",https://www.mouser.com/datasheet/2/1628/uj20_c_h_g_smt_4_p16_tr-3575366.pdf,$0.60,In Stock,Matched
1,USB-to-UART Bridge,CP2102N-A02-GQFN24,Package_DFN_QFN:QFN-24-1EP_...,"Silicon Labs, Integrated Osc.. Find/verify footprint.",634-CP2102NA02GQFN24,CP2102N-A02-GQFN24,Silicon Labs,USB Interface IC USBXpress - USB to UART Bridge QFN24,https://www.mouser.com/datasheet/2/368/cp2102n_datasheet-1634912.pdf,$5.59,In Stock,Matched
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps.",584-ADP3338AKCZ3.3R7,ADP3338AKCZ-3.3RL7,Analog Devices,Linear Voltage Regulators 1A anyCAP LDO,https://www.mouser.com/datasheet/2/609/ADP3338-1503401.pdf,$3.58,In Stock,Matched
2,NPN Transistor (Small Signal),BC547 / 2N3904,Package_TO_SOT_THT:TO-92_Inline,For auto-reset circuit. (Or 2N7002DW SOT363 ).,,,,,,,,LLM Selection Failed
1,LED Green 3mm THT,,LED_THT:LED_D3.0mm,Power indicator.,78-TLHG4400-MS12,TLHG4400-MS12,Vishay Semiconductors,Single Color LEDs Green 13mcd; 3mm 562-575nm; 2.4V Typ,,$0.71,In Stock,Matched
1,LED Blue 3mm THT,,LED_THT:LED_D3.0mm,"User blink LED (e.g., on GPIO2).",630-HLMP-KA45-E0000,HLMP-KA45-E0000,Broadcom / Avago,Single Color LEDs Blue 470nm,https://www.mouser.com/datasheet/2/678/av02-0921en_ds_hlmp-ka45_2015-05-13-1827745.pdf,$0.78,In Stock,Matched
1,LED Red SMD,,,Best guess based on context.,78-VSMD66694,VSMD66694,Vishay Semiconductors,"Infrared Emitters 660/940nm, SMD 2.3mW/sr, +/-60deg.",,$1.45,In Stock,Matched
4,Resistor 10kÎ©,,Resistor_SMD:R_0805_2012Metric,"Pull-ups (EN, GPIO0), Pull-downs (GPIO12, GPIO15 - adjust as needed).",652-CRT0805BY1002EAS,CRT0805-BY-1002EAS,Bourns,Thin Film Resistors - SMD 10K OHMS 0.1% 0805 Anti-Sulfur,https://www.mouser.com/datasheet/2/54/crt_as-1649073.pdf,$0.19,In Stock,Matched
1,Resistor ,,,,,,,,,,,No Mouser Matches
